title,url,source,author,published_at,tags,summary
sansan0 / TrendRadar,https://github.com/sansan0/TrendRadar,github_trending,,,,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+...
nvm-sh / nvm,https://github.com/nvm-sh/nvm,github_trending,,,,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
traefik / traefik,https://github.com/traefik/traefik,github_trending,,,,The Cloud Native Application Proxy
HKUDS / LightRAG,https://github.com/HKUDS/LightRAG,github_trending,,,,[EMNLP2025] "LightRAG: Simple and Fast Retrieval-Augmented Generation"
volcengine / verl,https://github.com/volcengine/verl,github_trending,,,,verl: Volcano Engine Reinforcement Learning for LLMs
GibsonAI / Memori,https://github.com/GibsonAI/Memori,github_trending,,,,Open-Source Memory Engine for LLMs; AI Agents & Multi-Agent Systems
yangshun / tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,github_trending,,,,Curated coding interview preparation materials for busy software engineers
MustardChef / WSABuilds,https://github.com/MustardChef/WSABuilds,github_trending,,,,Run Windows Subsystem For Android on your Windows 10 and Windows 11 PC using prebuilt binaries wi...
playcanvas / engine,https://github.com/playcanvas/engine,github_trending,,,,Powerful web graphics runtime built on WebGL; WebGPU; WebXR and glTF
milvus-io / milvus,https://github.com/milvus-io/milvus,github_trending,,,,Milvus is a high-performance; cloud-native vector database built for scalable vector ANN search
wolfpld / tracy,https://github.com/wolfpld/tracy,github_trending,,,,Frame profiler
Cloudflare、X等服务出现故障。,https://www.cloudflarestatus.com/?t=1,https://hn.aimaker.dev,,,Cloudflare,
谷歌反重力,https://antigravity.google/,https://hn.aimaker.dev,,,,
双子座3号,https://blog.google/products/gemini/gemini-3/,https://hn.aimaker.dev,,,,
Gemini 3 为开发者提供：新的推理能力和自主代理功能,https://blog.google/technology/developers/gemini-3-developers/,https://hn.aimaker.dev,,,,
Gemini 3 Pro 预览在 AI 工作室直播中,https://aistudio.google.com/prompts/new_chat?model=gemini-3-pro-preview,https://hn.aimaker.dev,,,AI,
几乎所有英国司机都表示车灯太亮。,https://www.bbc.com/news/articles/c1j8ewy1p86o,https://hn.aimaker.dev,,,,
谷歌反重力：人工智能辅助软件开发的新纪元,https://antigravity.google/blog/introducing-google-antigravity,https://hn.aimaker.dev,,,,
2025年11月18日Cloudflare故障事后分析,https://blog.cloudflare.com/18-november-2025-outage/,https://hn.aimaker.dev,,,,
GitHub: Git 操作失败,https://www.githubstatus.com/incidents/5q7nmlxz30sk,https://hn.aimaker.dev,,,,
Gemini 3 Pro 型号卡 [pdf],https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,https://hn.aimaker.dev,,,,
天文摄影师捕捉到跳伞者在太阳前坠落的瞬间,https://www.iflscience.com/the-fall-of-icarus-you-have-never-seen-an-astrophotography-picture-like-this-81570,https://hn.aimaker.dev,,,,
内华达州州长办公室掩盖了Boring公司安全违规行为。,https://fortune.com/2025/11/12/elon-musk-boring-company-tunnels-injuries-osha-citations-fines-rescinded-nevada-governor-office-documents-altered/,https://hn.aimaker.dev,,,,
GPT-5.1：更智能、更具对话性的ChatGPT,https://openai.com/index/gpt-5-1/,https://hn.aimaker.dev,,,,
Go的甜蜜16岁,https://go.dev/blog/16years,https://hn.aimaker.dev,,,,
