title,url,source,author,published_at,tags,summary
google / adk-go,https://github.com/google/adk-go,github_trending,,,Go,An open-source; code-first Go toolkit for building; evaluating; and deploying sophisticated AI ag...
usestrix / strix,https://github.com/usestrix/strix,github_trending,,,,✨ Open-source AI hackers for your apps 👨🏻‍💻
umami-software / umami,https://github.com/umami-software/umami,github_trending,,,,Umami is a modern; privacy-focused analytics platform. A better; open-source alternative to Googl...
TapXWorld / ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,github_trending,,,,所有小初高、大学PDF教材。
thinking-machines-lab / tinker-cookbook,https://github.com/thinking-machines-lab/tinker-cookbook,github_trending,,,,Post-training with Tinker
iptv-org / iptv,https://github.com/iptv-org/iptv,github_trending,,,,Collection of publicly available IPTV channels from all over the world
lzhoang2801 / OpCore-Simplify,https://github.com/lzhoang2801/OpCore-Simplify,github_trending,,,,A tool designed to simplify the creation of OpenCore EFI
YaLTeR / niri,https://github.com/YaLTeR/niri,github_trending,,,,A scrollable-tiling Wayland compositor.
bobeff / open-source-games,https://github.com/bobeff/open-source-games,github_trending,,,,A list of open source games.
microsoft / call-center-ai,https://github.com/microsoft/call-center-ai,github_trending,,,AI,Send a phone call from AI agent; in an API call. Or; directly call the bot from the configured ph...
librespot-org / librespot,https://github.com/librespot-org/librespot,github_trending,,,,Open Source Spotify client library
opencloud-eu / opencloud,https://github.com/opencloud-eu/opencloud,github_trending,,,,🌤️This is the main repository of the OpenCloud server. It contains the golang codebase for the ba...
end-4 / dots-hyprland,https://github.com/end-4/dots-hyprland,github_trending,,,,uhh questioning the meaning of dotfiles
Zie619 / n8n-workflows,https://github.com/Zie619/n8n-workflows,github_trending,,,,all of the workflows of n8n i could find (also from the site itself)
你记得的《玩具总动员》,https://animationobsessive.substack.com/p/the-toy-story-you-remember,https://hn.aimaker.dev,,,,
大型语言模型（LLMs）是你达宁-克鲁格效应的“类固醇”。,https://bytesauna.com/post/dunning-kruger,https://hn.aimaker.dev,,,,
意想不到的人事物,https://bengoldhaber.substack.com/p/unexpected-things-that-are-people,https://hn.aimaker.dev,,,,
警察可以获取你的私人在线数据,https://www.eff.org/deeplinks/2025/06/how-cops-can-get-your-private-online-data,https://hn.aimaker.dev,,,,
在Zed云中领先,https://maxdeviant.com/posts/2025/head-in-the-zed-cloud/,https://hn.aimaker.dev,,,,
对领先的人工智能代理进行与Google reCAPTCHA v2的基准测试,https://research.roundtable.ai/captcha-benchmarking/,https://hn.aimaker.dev,,,,
游戏保存工作困难，有时还需要私人侦探的帮助。,https://kotaku.com/gog-preservation-program-private-detectives-drm-2000635611,https://hn.aimaker.dev,,,,
在内容制作中使用生成性人工智能,https://partnerhelp.netflixstudios.com/hc/en-us/articles/43393929218323-Using-Generative-AI-in-Content-Production,https://hn.aimaker.dev,,,,
欧洲委员会计划推出“数字综合法案”以简化其科技法律。,https://www.politico.eu/article/brussels-knifes-privacy-to-feed-the-ai-boom-gdpr-digital-omnibus/,https://hn.aimaker.dev,,,,
联邦调查局在华盛顿州18个警察机构的车牌摄像头读取器上进行了无授权搜索。,https://www.seattletimes.com/seattle-news/law-justice/feds-searched-flock-security-systems-at-18-wa-police-agencies-report/,https://hn.aimaker.dev,,,,
我对洗碗机洗涤剂胶囊的看法是正确的，现在我可以证明这一点 [视频],https://www.youtube.com/watch?v=DAX2_mPr9W8,https://hn.aimaker.dev,,,,
YouTube 删除了超过700个记录以色列人权侵犯的视频。,https://theintercept.com/2025/11/04/youtube-google-israel-palestine-human-rights-censorship/,https://hn.aimaker.dev,,,,
UPS飞机在路易斯维尔机场附近坠毁,https://avherald.com/h?article=52f5748f&opt=0,https://hn.aimaker.dev,,,,
苹果正在越过史蒂夫·乔布斯设定的红线。,https://kensegall.com/2025/11/07/apple-is-crossing-a-steve-jobs-red-line/,https://hn.aimaker.dev,,,,
德国沃达丰正在逐步扼杀开放互联网——每一次对等连接都是一步。,https://coffee.link/vodafone-germany-is-killing-the-open-internet-one-peering-connection-at-a-time/,https://hn.aimaker.dev,,,,
Linux gamers on Steam cross over the 3% mark,https://www.gamingonlinux.com/2025/11/linux-gamers-on-steam-finally-cross-over-the-3-mark/,hn_weekly,,,Linux,
(comments),https://news.ycombinator.com/item?id=45792503,hn_weekly,,,,
Facts about throwing good parties,https://www.atvbt.com/21-facts-about-throwing-good-parties/,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45794032,hn_weekly,,,,
Tiny electric motor can produce more than 1 000 horsepower,https://supercarblondie.com/electric-motor-yasa-more-powerful-tesla-mercedes/,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45797242,hn_weekly,,,,
Tell HN: X is opening any tweet link in a webview whether you press it or not,https://news.ycombinator.com/item?id=45807775,hn_weekly,,,,
Mr TIFF,https://inventingthefuture.ghost.io/mr-tiff/,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45816853,hn_weekly,,,,
Zohran Mamdani wins the New York mayoral race,https://www.nbcnews.com/politics/elections/new-york-city-mayor-election-winner-2025-race-rcna238909,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45818421,hn_weekly,,,,
Show HN: I scraped 3B Goodreads reviews to train a better recommendation model,https://book.sv,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45825733,hn_weekly,,,,
New gel restores dental enamel and could revolutionise tooth repair,https://www.nottingham.ac.uk/news/new-gel-restores-dental-enamel-and-could-revolutionise-tooth-repair,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45826995,hn_weekly,,,,
Solarpunk is happening in Africa,https://climatedrift.substack.com/p/why-solarpunk-is-already-happening,hn_weekly,,,,
(comments),https://news.ycombinator.com/item?id=45827190,hn_weekly,,,,
End of Japanese community,https://support.mozilla.org/en-US/forums/contributors/717446,hn_weekly,,,,
Owen Young,https://www.owenyoung.com/,https://morerss.com,,,,
订阅 815,https://morerss.com/Owen%20Young,https://morerss.com,,,,
PH今日热榜 | 2025-11-11,https://decohack.com/producthunt-daily-2025-11-11/,https://decohack.com,,,,
PH今日热榜 | 2025-11-10,https://decohack.com/producthunt-daily-2025-11-10/,https://decohack.com,,,,
