title,url,source,author,published_at,tags,summary
666ghj / BettaFish,https://github.com/666ghj/BettaFish,github_trending,,,,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。
sst / opentui,https://github.com/sst/opentui,github_trending,,,,OpenTUI is a library for building terminal user interfaces (TUIs)
GeeeekExplorer / nano-vllm,https://github.com/GeeeekExplorer/nano-vllm,github_trending,,,,Nano vLLM
mudler / LocalAI,https://github.com/mudler/LocalAI,github_trending,,,,🤖 The free; Open Source alternative to OpenAI; Claude and others. Self-hosted and local-first. Dr...
1Panel-dev / MaxKB,https://github.com/1Panel-dev/MaxKB,github_trending,,,,🔥 MaxKB is an open-source platform for building enterprise-grade agents. MaxKB 是强大易用的开源企业级智能体平台。
imthenachoman / How-To-Secure-A-Linux-Server,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server,github_trending,,,Linux,An evolving how-to guide for securing a Linux server.
Raphire / Win11Debloat,https://github.com/Raphire/Win11Debloat,github_trending,,,,A simple; lightweight PowerShell script to remove pre-installed apps; disable telemetry; as well ...
DearVa / Everywhere,https://github.com/DearVa/Everywhere,github_trending,,,,A context-aware AI assistant for your desktop. Ready to respond intelligently; seamlessly integra...
HKUDS / DeepCode,https://github.com/HKUDS/DeepCode,github_trending,,,,"DeepCode: Open Agentic Coding (Paper2Code & Text2Web & Text2Backend)"
Fosowl / agenticSeek,https://github.com/Fosowl/agenticSeek,github_trending,,,,Fully Local Manus AI. No APIs; No $200 monthly bills. Enjoy an autonomous agent that thinks; brow...
charmbracelet / glow,https://github.com/charmbracelet/glow,github_trending,,,,Render markdown on the CLI; with pizzazz! 💅🏻
mudler / edgevpn,https://github.com/mudler/edgevpn,github_trending,,,,⛵ The immutable; decentralized; statically built p2p VPN without any central server and automatic...
hmjz100 / LinkSwift,https://github.com/hmjz100/LinkSwift,github_trending,,,,一个基于 JavaScript 的网盘文件下载地址获取工具。基于【网盘直链下载助手】修改 ，支持 百度网盘 / 阿里云盘 / 中国移动云盘 / 天翼云盘 / 迅雷云盘 / 夸克网盘 / UC网盘...
coleam00 / ottomator-agents,https://github.com/coleam00/ottomator-agents,github_trending,,,,All the open source AI Agents hosted on the oTTomator Live Agent Studio platform!
PKUFlyingPig / cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,github_trending,,,,计算机自学指南
HandsOnLLM / Hands-On-Large-Language-Models,https://github.com/HandsOnLLM/Hands-On-Large-Language-Models,github_trending,,,,Official code repo for the O'Reilly Book - "Hands-On Large Language Models"
mindsdb / mindsdb,https://github.com/mindsdb/mindsdb,github_trending,,,,Federated query engine for AI - The only MCP Server you'll ever need
Htmx – 获取()的到来,https://htmx.org/essays/the-fetchening/,https://hn.aimaker.dev,,,,
